protocol,seed,held_out,group,count,mean,std,median,q25,q75,min,max,entropy_source
loso,2026,3-1,known_incorrect,243,0.6149405144403769,0.40015828183800356,0.5776395741119811,0.21947933297911343,1.0274744680600612,0.06824407687543918,1.6948536697008232,probabilities
loso,2026,3-1,absent_from_train,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,probabilities
loso,2026,3-1,benign,4536,0.3389607706376253,0.23744984383777282,0.4415303187685544,0.17611540341249957,0.45255974053070624,0.008837306168523807,1.8126777130862928,probabilities
loso,2026,3-1,malicious,15970,0.42178472123165955,0.4199995116785332,0.14564110363279303,0.08280029307817964,0.9026934297502776,0.03215253176899906,1.6948536697008232,probabilities
loso,2026,34-1,known_correct,3525,0.4690668334219342,0.48964490054397414,0.013649148649746225,0.0015777577592018248,1.0078113216977,9.23491553449703e-05,1.243560338868229,probabilities
loso,2026,34-1,known_incorrect,5226,0.9789259058696818,0.09948940297961614,0.992341307367975,0.9878661190433459,0.992607588909029,0.0035234231045055244,1.1345608097941633,probabilities
loso,2026,34-1,absent_from_train,10000,0.004664208890105633,0.009087865023412032,0.004303359543965951,0.004303359543965951,0.004303359543965951,0.002847228545085096,0.7278785922728417,probabilities
loso,2026,34-1,benign,1923,0.02621016942111006,0.11736846722584039,0.0015778724544659557,0.0001047720856299379,0.009196162482168195,9.23491553449703e-05,0.9120932665400929,probabilities
loso,2026,34-1,malicious,16828,0.4020422691342724,0.4834853073087775,0.004303359543965951,0.004303359543965951,0.9878661190433459,0.002847228545085096,1.243560338868229,probabilities
loso,2026,36-1,known_correct,2663,0.0012169121218930793,0.016412467058547094,0.000161155377641982,0.00011814312701070867,0.00019490458364117668,4.983918901429093e-05,0.669153809450751,probabilities
loso,2026,36-1,known_incorrect,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,probabilities
loso,2026,36-1,absent_from_train,20003,0.3947210266141478,0.22273096250048743,0.17308434951600402,0.17308434951600402,0.5855424246073679,0.08350812444864672,0.6636303148618679,probabilities
loso,2026,36-1,benign,2663,0.0012169121218930793,0.016412467058547094,0.000161155377641982,0.00011814312701070867,0.00019490458364117668,4.983918901429093e-05,0.669153809450751,probabilities
loso,2026,36-1,malicious,20003,0.3947210266141478,0.22273096250048743,0.17308434951600402,0.17308434951600402,0.5855424246073679,0.08350812444864672,0.6636303148618679,probabilities
loso,2026,39-1,known_correct,17489,0.2591380275278788,0.1647638159973311,0.30526813949910153,0.12708516443182127,0.30526813949910153,5.269857955145395e-12,1.7782689669765164,probabilities
loso,2026,39-1,known_incorrect,2055,1.1558359645691778,0.4843184146930418,1.079739784100132,0.7937521641933063,1.7214742572920594,1.8747313738619925e-10,1.8342743313002718,probabilities
loso,2026,39-1,absent_from_train,0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,probabilities
loso,2026,39-1,benign,7337,0.2621364872327845,0.3331122783586306,0.12698391550704446,0.025699530105274135,0.4237337100224437,5.269857955145395e-12,1.834029101347919,probabilities
