run_id,strategy,round,validation_loss,accuracy,macro_f1,weighted_f1
fedprox-20260805T111510205887Z-600756a341,fedprox,10,1.2295011035381413,0.7271903820816864,0.43885821691103916,0.6395808382104969
fedprox-20260805T111510205887Z-600756a341,fedprox,11,1.202259470822783,0.7285902503293807,0.43941475661987234,0.6406655719505168
fedprox-20260805T111510205887Z-600756a341,fedprox,12,1.1819149766200774,0.7289196310935442,0.4398265938574557,0.6409905429384334
fedprox-20260805T111510205887Z-600756a341,fedprox,13,1.1615207405743706,0.7294960474308301,0.440796016994936,0.6415872259991842
fedprox-20260805T111510205887Z-600756a341,fedprox,14,1.1474671470632039,0.7299901185770751,0.4417953814843823,0.6420789577439427
fedprox-20260805T111510205887Z-600756a341,fedprox,15,1.1352168147271802,0.7304018445322793,0.4423827265556609,0.6425041305963286
fedprox-20260805T111510205887Z-600756a341,fedprox,16,1.1273903802763645,0.7322957839262187,0.4455034572733351,0.6444209341409216
fedprox-20260805T111510205887Z-600756a341,fedprox,17,1.1226005227512366,0.7355895915678524,0.45143741805689513,0.6476905193309538
fedprox-20260805T111510205887Z-600756a341,fedprox,18,1.1242136572032422,0.7364130434782609,0.4528837315277195,0.648458910388158
fedprox-20260805T111510205887Z-600756a341,fedprox,19,1.1220981587848486,0.736907114624506,0.45393490080543303,0.6489411909020945
fedprox-20260805T111510205887Z-600756a341,fedprox,20,1.131529615801785,0.7369894598155468,0.45418332745801665,0.6490633262413046
fedprox-20260805T111510205887Z-600756a341,fedprox,21,1.141899774825306,0.7383893280632411,0.45570387455550826,0.6504663215859344
fedprox-20260805T111510205887Z-600756a341,fedprox,22,1.144657849323137,0.725872859025033,0.44156467966007695,0.6385630267232049
fedprox-20260805T111510205887Z-600756a341,fedprox,23,1.1547626695142905,0.7259552042160737,0.4416781534376924,0.6386460187915712
fedprox-20260805T111510205887Z-600756a341,fedprox,24,1.1681137823147578,0.7260375494071146,0.4416845422647084,0.638704591058276
fedprox-20260805T111510205887Z-600756a341,fedprox,25,1.184486696371448,0.7262022397891963,0.4419108055991878,0.6388703229328988
fedprox-20260805T111510205887Z-600756a341,fedprox,26,1.2003831049827405,0.7262022397891963,0.4419108055991878,0.6388703229328988
fedprox-20260805T111510205887Z-600756a341,fedprox,27,1.1912975980359104,0.7262845849802372,0.4420237328782323,0.638953113585968
fedprox-20260805T111510205887Z-600756a341,fedprox,28,1.2177286377380332,0.7262845849802372,0.4420237328782323,0.638953113585968
fedprox-20260805T111510205887Z-600756a341,fedprox,29,1.2223367361211965,0.7262845849802372,0.4420237328782323,0.638953113585968
fedprox-20260805T111510205887Z-600756a341,fedprox,30,1.2301670738516746,0.7262022397891963,0.4419108055991878,0.6388703229328988
